O365Attribute,ADAttribute
onPremisesDistinguishedName,DistinguishedName
GivenName,GivenName
Surname,Sn
DisplayName,DisplayName
MailNickName,MailNickName
Mail,Mail
RecipientTypeDetails,msExchRemoteRecipientType
RecipientTypeDetails1,msExchRecipientTypeDetails
RecipientTypeDetails2,msExchRecipientDisplayType
ShowInAddressList,msExchHideFromAddressLists
ProxyAddresses,ProxyAddresses
SipProxyAddress,ProxyAddresses1
StreetAddress,StreetAddress
City,l
State,st
Country,co
PostalCode,PostalCode
Department,Department
CompanyName,Company
UsageLocation,msExchUsageLocation
TelephoneNumber,TelephoneNumber
FacsimileTelephoneNumber,FacsimileTelephoneNumber
Mobile,Mobile
ImmutableId,ObjectGUID
DirSyncEnabled,
ObjectID,
